season,team1,team2,period,secs,prob1,prob1_outcome,prob2,prob2_outcome,probwin,probwin_outcome
2016,Belmont,Michigan State,1,600,0.08,0,0.92,1,,0
2016,Belmont,Michigan State,1,572,0.078,0,0.922,1,,0
2016,Belmont,Michigan State,1,551,0.08,0,0.92,1,,0
2016,Belmont,Michigan State,1,526,0.082,0,0.918,1,,0
2016,Belmont,Michigan State,1,516,0.08,0,0.92,1,,0
2016,Belmont,Michigan State,1,495,0.083,0,0.917,1,,0
2016,Belmont,Michigan State,1,482,0.1,0,0.9,1,,0
2016,Belmont,Michigan State,1,466,0.085,0,0.915,1,,0
2016,Belmont,Michigan State,1,451,0.084,0,0.916,1,,0
2016,Belmont,Michigan State,1,443,0.088,0,0.912,1,,0
2016,Belmont,Michigan State,1,431,0.085,0,0.915,1,,0
2016,Belmont,Michigan State,1,410,0.091,0,0.909,1,,0
2016,Belmont,Michigan State,1,400,0.086,0,0.914,1,,0
2016,Belmont,Michigan State,1,394,0.066,0,0.9339999999999999,1,,0
2016,Belmont,Michigan State,1,371,0.059,0,0.9410000000000001,1,,0
2016,Belmont,Michigan State,1,362,0.049,0,0.951,1,,0
2016,Belmont,Michigan State,1,333,0.044,0,0.956,1,,0
2016,Belmont,Michigan State,1,311,0.037,0,0.963,1,,0
2016,Belmont,Michigan State,1,293,0.034,0,0.966,1,,0
2016,Belmont,Michigan State,1,286,0.037,0,0.963,1,,0
2016,Belmont,Michigan State,1,275,0.034,0,0.966,1,,0
2016,Belmont,Michigan State,1,271,0.028,0,0.972,1,,0
2016,Belmont,Michigan State,1,251,0.039,0,0.961,1,,0
2016,Belmont,Michigan State,1,233,0.032,0,0.968,1,,0
2016,Belmont,Michigan State,1,215,0.03,0,0.97,1,,0
2016,Belmont,Michigan State,1,208,0.033,0,0.967,1,,0
2016,Belmont,Michigan State,1,201,0.033,0,0.967,1,,0
2016,Belmont,Michigan State,1,187,0.033,0,0.967,1,,0
2016,Belmont,Michigan State,1,157,0.04,0,0.96,1,,0
2016,Belmont,Michigan State,1,141,0.044,0,0.956,1,,0
2016,Belmont,Michigan State,1,116,0.061,0,0.9390000000000001,1,,0
2016,Belmont,Michigan State,1,105,0.05,0,0.95,1,,0
2016,Belmont,Michigan State,1,86,0.051,0,0.949,1,,0
2016,Belmont,Michigan State,1,83,0.051,0,0.949,1,,0
2016,Belmont,Michigan State,1,82,0.062,0,0.938,1,,0
2016,Belmont,Michigan State,1,65,0.069,0,0.931,1,,0
2016,Belmont,Michigan State,1,46,0.083,0,0.917,1,,0
2016,Belmont,Michigan State,1,34,0.083,0,0.917,1,,0
2016,Belmont,Michigan State,1,29,0.083,0,0.917,1,,0
2016,Belmont,Michigan State,1,25,0.092,0,0.908,1,,0
2016,Belmont,Michigan State,1,20,0.083,0,0.917,1,,0
2016,Belmont,Michigan State,1,15,0.07,0,0.9299999999999999,1,,0
2016,Belmont,Michigan State,1,2,0.062,0,0.938,1,,0
2016,Belmont,Michigan State,1,1,0.07,0,0.9299999999999999,1,,0
2016,Belmont,Michigan State,1,0,0.066,0,0.9339999999999999,1,,0
2016,Belmont,Michigan State,2,600,0.062,0,0.938,1,,0
2016,Belmont,Michigan State,2,588,0.069,0,0.931,1,,0
2016,Belmont,Michigan State,2,556,0.068,0,0.9319999999999999,1,,0
2016,Belmont,Michigan State,2,553,0.079,0,0.921,1,,0
2016,Belmont,Michigan State,2,533,0.088,0,0.912,1,,0
2016,Belmont,Michigan State,2,514,0.119,0,0.881,1,,0
2016,Belmont,Michigan State,2,492,0.103,0,0.897,1,,0
2016,Belmont,Michigan State,2,476,0.095,0,0.905,1,,0
2016,Belmont,Michigan State,2,471,0.096,0,0.904,1,,0
2016,Belmont,Michigan State,2,459,0.072,0,0.928,1,,0
2016,Belmont,Michigan State,2,448,0.066,0,0.9339999999999999,1,,0
2016,Belmont,Michigan State,2,439,0.066,0,0.9339999999999999,1,,0
2016,Belmont,Michigan State,2,429,0.048,0,0.952,1,,0
2016,Belmont,Michigan State,2,423,0.044,0,0.956,1,,0
